ADDMISSION,26688077,26688077,LocX24,1,3605533292259,26688077111112,1,C7
ADDMISSION,26688077,26688077,LocX25,1,3605970054915,26688077111113,2,C7
ADDMISSION,26688077,26688077,LocX26,1,3605970943684,26688077111114,3,C7
ADDMISSION,26688077,26688077,LocX27,1,3605970832575,26688077111115,4,C7
ADDMISSION,26688077,26688077,LocX24,1,3605970805050,26688077111116,50,C7
ADDMISSION,26688078,26688078,LocX25,2,3147758030303,26688078111117,6,C7
ADDMISSION,26688078,26688078,LocX26,2,3605970638924,26688078111118,7,C7
ADDMISSION,26688078,26688078,LocX27,1,3605970943684,26688078111119,8,C7
ADDMISSION,26688078,26688078,LocX24,1,3605970790936,26688078111120,9,C7
ADDMISSION,26688078,26688078,LocX25,1,3605970791292,26688078111121,10,C7
ADDMISSION,26688078,26688078,LocX26,1,3605970791612,26688078111122,20,C7
