orderId,preAssignedContainerId,locationId,quantity,itemId,uom,orderDetailId,workSequence
26739128,26739128,EL032065,1,3365440738027,ea,26739128111112,0
26739128,26739128,EL044072,1,3365440665996,ea,26739128111113,0
26739128,26739128,EL044035,1,3365440714076,ea,26739128111114,0
26739128,26739128,EL044085,1,3365440774575,ea,26739128111115,0
26739128,26739128,EL036055,1,3365440618954,ea,26739128111116,0
26704855,26704855,CFC01034,1,604214913004,ea,26704855111112,0
26704855,26704855,CFC01043,1,604214920934,ea,26704855111113,0
26704855,26704855,CFC02032,1,3605970988074,ea,26704855111114,0
26704855,26704855,CFC01044,1,604214921641,ea,26704855111115,0
26704856,26704856,CFC01034,1,604214913004,ea,26704856111116,0
26704856,26704856,CFC02021,1,604214738805,ea,26704856111117,0
26704856,26704856,CFC02032,1,3605970988074,ea,26704856111118,0
26704856,26704856,CFC01044,1,604214921641,ea,26704856111119,0
26741431,26741431,PK316041,1,3605975000337,ea,26741431111112,0
26741431,26741431,PK403021,1,3605975083286,ea,26741431111113,0
26741431,26741431,CGA01035,1,3700194714413,ea,26741431111114,0
26741431,26741431,CGA02044,1,3605975069709,ea,26741431111115,0
26741431,26741431,CGA02031,1,3700194713164,ea,26741431111116,0
26741431,26741431,CGE01015,1,3605975070088,ea,26741431111117,0
26741431,26741431,CGA01022,1,3605970366018,ea,26741431111118,0
26741432,26741432,PK321041,1,3605970614522,ea,26741432111119,0
26741432,26741432,PK204021,1,3605975082364,ea,26741432111120,0
26741432,26741432,CGA01031,1,3605975053944,ea,26741432111121,0
26741432,26741432,CGA02043,1,3605970473327,ea,26741432111122,0
26741432,26741432,CGE02043,1,3605975070033,ea,26741432111123,0
26767350,26767350,PL203064,1,96018058454,ea,26767350111112,0
26767350,26767350,CFH01014,1,3605970638641,ea,26767350111113,0
26767350,26767350,CFH01044,1,3605970638320,ea,26767350111114,0
26767351,26767351,PL216061,1,3605533115930,ea,26767351111115,0
26767351,26767351,CFH01014,1,3605970638641,ea,26767351111116,0
26767351,26767351,CFH01044,1,3605970638320,ea,26767351111117,0
26767352,26767352,PL403011,1,3605975001075,ea,26767352111118,0
26767352,26767352,CFH01014,1,3605970638641,ea,26767352111119,0
26767352,26767352,CFH01044,1,3605970638320,ea,26767352111120,0
26767353,26767353,PL308052,1,3147758155105,ea,26767353111121,0
26767353,26767353,CFH01014,1,3605970638641,ea,26767353111122,0
26767353,26767353,CFH01044,1,3605970638320,ea,26767353111123,0
26767354,26767354,PL224021,1,96018205025,ea,26767354111124,0
26767354,26767354,CFH01014,1,3605970638641,ea,26767354111125,0
26767354,26767354,CFH01044,1,3605970638320,ea,26767354111126,0
26767354,26767354,CFH01013,1,3605970411404,ea,26767354111127,0
26740137,26740137,CFI02042,1,3605970764494,ea,26740137111112,0
26740137,26740137,PL206031,1,96018254160,ea,26740137111113,0
26740137,26740137,CFI01014,1,3605970638924,ea,26740137111114,0
26740137,26740137,CFF02021,1,3605970943684,ea,26740137111115,0
26740138,26740138,PL210071,1,3605975005059,ea,26740138111116,0
26740138,26740138,CFI01014,1,3605970638924,ea,26740138111117,0
26740138,26740138,CFF02021,1,3605970943684,ea,26740138111118,0
26740139,26740139,PL417071,1,3605975005035,ea,26740139111119,0
26740139,26740139,PL209064,1,3605975085518,ea,26740139111120,0
26740139,26740139,CFI01014,1,3605970638924,ea,26740139111121,0
26740139,26740139,CFF02021,1,3605970943684,ea,26740139111122,0
26740140,26740140,CFI02024,1,3605531812213,ea,26740140111123,0
26740140,26740140,CFI02041,1,3605970764296,ea,26740140111124,0
26740140,26740140,CFF01043,1,3605970856892,ea,26740140111125,0
26740140,26740140,CFF02021,1,3605970943684,ea,26740140111126,0
26688372,26688372,PK222051,2,3700194718541,ea,26688372111112,0
26688373,26688373,PK409073,1,3605970209964,ea,26688373111113,0
26688373,26688373,PK318063,1,3605970364854,ea,26688373111114,0
26688374,26688374,PK218031,2,3700194709433,ea,26688374111115,0
26688375,26688375,PK206061,1,3700194707972,ea,26688375111116,0
26688375,26688375,PK312031,1,3700194724504,ea,26688375111117,0
26688376,26688376,PK407061,1,3605970473402,ea,26688376111118,0
26688376,26688376,PK222021,1,3605970365011,ea,26688376111119,0
26742151,26742151,CGG01044,1,3605970360757,ea,26742151111112,0
26742151,26742151,CGG01031,1,3605975053944,ea,26742151111113,0
26742151,26742151,CGI01011,1,3605970473600,ea,26742151111114,0
26742151,26742151,CGG02043,1,3605970473327,ea,26742151111115,0
26742151,26742151,PK208073,1,3700194706579,ea,26742151111116,0
26742151,26742151,CGG02012,1,3605970360559,ea,26742151111117,0
26742151,26742151,CGG02015,1,3605970047696,ea,26742151111118,0
26742152,26742152,CGG01035,1,3700194714413,ea,26742152111119,0
26742152,26742152,CGG01031,1,3605975053944,ea,26742152111120,0
26742152,26742152,CGI01011,1,3605970473600,ea,26742152111121,0
26742152,26742152,CGG02043,1,3605970473327,ea,26742152111122,0
26742152,26742152,CGG01024,1,3605975086904,ea,26742152111123,0
26742152,26742152,CGG01025,1,3605975053951,ea,26742152111124,0
26742152,26742152,CGG01014,1,3605970472283,ea,26742152111125,0
26742153,26742153,PK319011,2,3605970614560,ea,26742153111126,0
26742153,26742153,PK307021,2,3700194711498,ea,26742153111127,0
26742153,26742153,PK313021,1,3700194712099,ea,26742153111128,0
26742153,26742153,CGI01011,1,3605970473600,ea,26742153111129,0
